記事番号,タイトル,URL,サマリー
2,【米国市況】ハイテク株が下落、利回り上昇−円下げて一時142円21銭,https://www.bloomberg.co.jp/news/articles/2024-01-02/S6NJYNDWLU6800?srnd=cojp-v2,2024年最初の取引日となった２日の米金融市場では、Ｓ＆Ｐ500種株価指数が下落。国債相場も下落（利回りは上昇）した。市場では今年の大幅利下げ観測が後退している。株式 終値 前営業日比 変化率 Ｓ＆Ｐ500種株価指数 4742.83 -27.00 -0.57% ダウ工業株30種平均 37715.04 25.50 0.07% ナスダック総合指数 14765.94 -245.41 -1.63%「マグニフィセント・セブン」と呼ばれるテクノロジー大手７社が軟調。ハイテク銘柄の比重が高いナスダック100指数は1.7％下落し、２カ月ぶりの大幅安となった。 アップル株は3.6％下落し、昨年11月13日以来の安値。最新型iPhone（アイフォーン）の需要が振るわないとの見方に基づき、同社の株式投資判断をバークレイズが「アンダーウエート」に引き下げたことが響いた。ＪＰモルガン・チェース株は1.2％高の172.08ドルで終了。上場来高値を更新した。これまでの終値ベースの最高値は、2021年10月22日に付けた171.78ドルだった。2023年の米株上昇を予想していた少数派の１人、ファンドストラット・グローバル・アドバイザーズのトム・リー氏は、今年も株価は好調に推移するとみている。ただ、最初の５日間が相場の基調を方向付けることになり、軟調に推移すれば強気予想が否定される可能性があるとも述べた。オッペンハイマー・アセット・マネジメントのチーフストラテジスト、ジョン・ストルツファス氏も米株強気派だが、次の決算シーズンを迎えるまでは一服感が広がるとの見方を示している。ストルツファス氏は「昨年第４四半期（10−12月）に経験したような強気相場後に市場が一時停止するのは珍しいことではない」と顧客向けリポートで指摘。10月に付けた安値からの「株価上昇を考えれば、一服するのは理にかなっていると思われる」と述べた。市場参加者は労働市場の状況を見極めようと、３日発表の2023年11月求人件数と５日発表の12月雇用統計に注目するとみられる。アナ・ウォン氏らブルームバーグ・エコノミクスのエコノミストは「パウエル米連邦準備制度理事会（ＦＲＢ）議長が言うように失業率の急上昇を招かずにインフレ率が一段と低下すれば、株高・債券高は正当化される」と指摘。「しかし、伝統的な経済の経験則が当てはまるのであれば、ディスインレは痛みと無縁とはならない。利上げによる労働市場への影響のピークは今まさに訪れようとしているところだ」と論じた。国際通貨基金（ＩＭＦ）のゲオルギエワ専務理事は米経済について、インフレを抑制するという金融当局の「決意」が奏功し、「確実」にソフトランディングに向かっているとの認識を示した。米国債米国債市場は利回りが大幅に上昇し、世界的な 債券売りの流れに加わる格好となった。市場では、欧米などの主要中央銀行が大幅な利下げに踏み切るとの見方が後退。10年債利回りは一時９ベーシスポイント（ｂｐ、１ｂｐ＝0.01％）上昇して3.97％を付けた。国債 直近値 前営業日比(bp) 変化率 米30年債利回り 4.08% 5.1 1.27% 米10年債利回り 3.94% 5.6 1.44% 米２年債利回り 4.32% 6.8 1.60% 米東部時間 16時40分ＵＢＳグループの金利ストラテジスト、エマヌイル・カリマリス氏は「市場はこの先、恐らくもう少し弱気のトーンを帯びるはずだ」と、ブルームバーグテレビジョンで指摘。「欧州中央銀行（ＥＣＢ）や他の中銀は警報解除信号を発してはいない」と述べた。大規模な社債発行の見通しも、債券相場の重しとなっているとみられる。ＴＤセキュリティーズの米金利戦略責任者、ジェナディー・ゴールドバーグ氏は「すでに多くの企業ディールが発表されており、相場の動きの背景には供給要因があると思われる」と指摘。「しかし大局的に見れば、市場は重要な経済データの発表を前に引き続き値固めしようとしている」と述べた。為替外国為替市場ではドルが上昇。米国債利回り上昇が支援材料となったほか、地政学的緊張の高まりで投資家のリスク選好が後退したことも背景にある。為替 直近値 前営業日比 変化率 ブルームバーグ・ドル指数 1221.56 8.67 0.71% ドル／円 141.96 1.07 0.76% ユーロ／ドル $1.0941 -$0.0104 -0.94% 米東部時間 16時40分主要10通貨に対するドルの動きを示すブルームバーグ・ドル・スポット指数は0.7％上昇し、昨年３月以来の大幅高を記録した。ドルは対円では一時142円21銭まで上昇。石川県能登地方を震源とする 最大震度７の地震の被害が明らかになるにつれ、今年前半に予想されていた日本銀行のマイナス金利の解除は困難になったとの声が市場では出ている。一方でドイツ銀行のマクロストラテジスト、アラン・ラスキン氏は２日のリポートで、ドルは対円で過大評価されていると指摘。金利スプレッドから判断すると円は１ドル＝140円50銭近くで取引されるべきだとの見方を示した。原油ニューヨーク原油相場は続落。紅海で緊張が高まりつつあることへの懸念はあるが、市場全般にリスク回避のセンチメントが広がる中、上げを消す展開となった。ウェスト・テキサス・インターミディエート（ＷＴＩ）原油先物２月限は３ドルを超える値幅で上下し、１バレル＝70ドル近くで終えた。株式相場の下落につられた。ホリデー休暇明けで商いは引き続き薄く、値動きが増幅された。これより先には、米海軍がイエメンの親イラン武装組織フーシ派のボート３隻を攻撃したのを受け、イランが紅海に駆逐艦を 派遣したことから、原油は値上がりしていた。ＢＯＫファイナンシャル・セキュリティーズのシニアバイスプレジデント、デニス・キスラー氏は「イランによる紅海への軍艦派遣はそれほど警戒すべきものではないが、原油の神経質な取引が続く要因にはなる」と述べた。ニューヨーク商業取引所（ＮＹＭＥＸ）のＷＴＩ先物２月限は前営業日比1.27ドル（1.8％）安の１バレル＝70.38ドルで終了。ロンドンＩＣＥの北海ブレント３月限は1.5％安の75.89ドル。金ニューヨーク金先物相場は小幅上昇。ドルが上昇する中、持ちこたえる格好となった。金スポット相場は昨年に年間で13％高と、３年ぶりの上昇。12月初旬には最高値を付けていた。米金融当局が2024年に利下げを開始するとの見方が強まったことが背景にある。米金融当局者らは急速な金融緩和への期待をけん制しているが、金利スワップ市場では今後１年間に６回の利下げが実施されると織り込まれている。投資家は雇用統計など今週発表される米経済指標に注目する見通しだ。これらは同当局の金融政策スタンスに影響を及ぼす可能性がある。ニューヨーク商品取引所（ＣＯＭＥＸ）の金先物２月限は前営業日比1.60ドル（0.1％）高の１オンス＝2073.40ドルで終了した。原題： Tech Bulls Lose Their Grip as Stocks Rally Pauses: Markets Wrap（抜粋）Treasuries Start Year on Back Foot as Global Rate-Cut Bets Ease（抜粋）Dollar Opens Year With Biggest Gain Since October: Inside G-10（抜粋）Gold Steady After First Yearly Gain in Three on Dovish Fed Bets（抜粋）Oil Falls as Risk-Off Sentiment Outweighs Red Sea Fears（抜粋）
3,中国の気球、総統選控える台湾を横断−気象観測以外の目的ないか調査,https://www.bloomberg.co.jp/news/articles/2024-01-03/S6O22QT1UM0W00?srnd=cojp-v2,中国の気象観測気球が台湾を横断した。台湾国防部（国防省）が気球の目撃情報公表を先月開始してから初めてとなる。国防部は声明で、気球４機が現地時間２日午前８時27分（日本時間同９時27分）から午後６時41分の間に目撃されたと発表。北東に移動し続け、行方が分からなくなったが、３機が台湾本島を横切ったという。今月１日に中国の気球１機が台湾上空を飛んだことが判明。気球は以前から目撃されていたが、国防部は情報を開示していなかった。台湾は13日に総統選を控えている。中国の習近平国家主席は昨年12月31日のテレビ演説で台湾に言及し、「祖国統一は歴史的必然」との立場をあらためて示した。バイデン米政権は昨年、米本土上空を飛んだ中国の気球が偵察用だとして、この気球を撃墜。中国は気象観測用だったと主張した。台湾国防部は飛来した気球に観測以外の用途があるかどうかを注意深くモニターし調査するとともに、適切な措置を講じると表明。また、飛行経路のパターンを収集し、分析するという。原題： Taiwan Spots Four Chinese Balloons Over Island as Poll Nears （抜粋）
4,ＦＲＢのバランスシートに再び注目、年明けのレポ市場に落ち着き戻る,https://www.bloomberg.co.jp/news/articles/2024-01-02/S6NGMVDWRGG000?srnd=cojp-v2,翌日物資金調達市場では昨年末に見られたボラティリティー（変動性）が和らぎ、ウォール街の関心は米連邦準備制度理事会（ＦＲＢ）が深刻な混乱を引き起こすことなくバランスシートの縮小を継続できるかという問題に戻ってきた。資金の待機場所であるＦＲＢのリバース・レポ（ＲＲＰ）ファシリティーに、トレーダーから精察の目が向けられている。利用者はこれまで、もっと高い利回りで運用するためにこのファシリティーから資金を引き出してきたが、同ファシリティー利用額がゼロに向かって細るのに伴い、レポ市場のボラティリティーは改めて加熱すると予想される。先週には担保付翌日物調達金利（ ＳＯＦＲ）が過去最高に急伸したが、そうした波乱は今後増え、深刻度を増すとみられている。米国債入札の決済が完了し、年末に向けたタームファンディングのポジションが満期を迎えれば、米国債を担保とする翌日物レポ金利は今週、正常化が見込まれる。ニューヨーク連銀が２日に発表したデータによれば、レポ取引を集計して公表されるＳＯＦＲは12月29日時点で5.38％と、過去最高の5.40％から下げていた。しかしここ最近の変動は、こうした金利が今後迎える事態の予告に過ぎないかもしれない。ライトソンＩＣＡＰのエコノミスト、ルー・クランドール氏は「ＲＲＰファシリティーが完全に空になるまでＦＲＢがバランスシート縮小を続ける場合、ＳＯＦＲが描く日々のパターンは数四半期前から見られる安定ではなく、2020年より前に経験した状況に似るだろう」と顧客リポートで指摘した。２日のＲＲＰファシリティーには約78のカウンターパーティーが合計7049億ドル（約99兆9100億円）を預け入れた。前営業日から3136億ドル減少し、年初の減少としては同ファシリティーが創設された2013年以来で３番目に大きな額となった。上段：ＦＲＢのＲＲＰファシリティー預入額、下段：日ごとの変化 出所：ニューヨーク連銀同ファシリティーの残高は2023年が最終週を迎えるまでに１兆4000億ドル近く急減。2021年以来の低水準に落ちていた。米財務省による財務省短期証券（Ｔビル）の大量発行と、米利上げ終了の確信がこの動きを導いた。ウォール街のストラテジストらはＲＲＰ残高が６月末までに完全に枯渇すると予想。ＦＲＢはその時点で量的引き締め（ＱＴ）を停止せざるを得なくなる。銀行の準備額が当局想定より乏しいことが判明すれば、その見込みはますます強まる。だからこそＦＲＢはＲＲＰファシリティーが枯渇する前にバランスシートのランオフをやめなくてはならないと、クランドール氏は述べている。そうしておけば、資金調達市場が急激に緊張した場合でもファシリティーに残されたキャッシュをレポ市場に再投入することが可能になる。「前にも指摘した通り、この春か夏、日々のＲＲＰファシリティー利用が構造的にプラスにある間にＱＴを停止することに強い論拠があると考える」と説明した。原題： Fed’s Balance Sheet Leaps Into Spotlight After Repo Volatility（抜粋）
5,テスラ、ＥＶ販売世界首位の座から陥落−中国ＢＹＤに抜かれる,https://www.bloomberg.co.jp/news/articles/2024-01-02/S6MZUXDWX2PS00?srnd=cojp-v2,"米 テスラが２日発表した2023年10−12月（第４四半期）の販売台数は48万4507台と、アナリスト予想平均の48万3173台を上回った。ただ、中国の比亜迪（ＢＹＤ）の同四半期販売台数は 52万6409台で、電気自動車（ＥＶ）世界首位の座を奪われた格好。ＢＹＤは比較的安価かつ幅広いラインナップで主に中国市場で販売を伸ばしている。BYD Beats Tesla in Electric-Car Sales China’s top brand becomes the new global No.
1 in EVs Source: Company statementsテスラの2023年販売台数は180万台という目標を上回ったものの、イーロン・マスク最高経営責任者（ＣＥＯ）が約１年前に描いていた上振れシナリオには遠く及ばなかった。ＥＶ販売台数の順位変動は、世界の自動車産業における中国の影響力の高まりを映し出している。過去数年で米国、韓国、ドイツを抜いてきた中国は2023年には日本も抜いて世界最大の乗用車輸出国になった可能性がある。テスラはＢＹＤに比べてかなり高額なモデルを販売しており、出荷台数の大部分をわずか２車種が占めているため、売上高と利益はＢＹＤよりも多い。10−12月の販売台数では、スポーツ多目的車（ＳＵＶ）「モデルＹ」とセダン「モデル３」両モデルが全体の95％を占めた。原題： Tesla Falls Behind BYD in Quarterly EV Sales as Growth Slows（抜粋）"
6,大地震受け円安進行、日銀のマイナス金利「早期解除は困難」との声も,https://www.bloomberg.co.jp/news/articles/2024-01-02/S6M6VST0G1KW00?srnd=cojp-v2,石川県能登地方を震源とする最大震度７の地震を受けて、外国為替市場で円の対ドル相場が円安ドル高に振れている。被害の大きさが明らかになるにつれ、今年前半に予想されていた日本銀行のマイナス金利の解除は困難になったとの声も出ている。岸田首相「広範囲で被害」、現地対策本部設置−輪島市で死者15人円の対ドル相場は日本時間２日午後に一時１ドル＝141円67銭まで下落。連休前の2023年12月29日のニューヨーク市場（141円ちょうど近辺）から円安水準で推移している。２日のロンドン市場では一時142円台を付けた。みずほ銀行の唐鎌大輔チーフマーケットエコノミストは「１月のマイナス金利解除を予想してきた海外投資家が結構いるはずだが、この状況では日銀が１月の金融政策決定会合で動くことはほぼ確実にないだろう」と語る。24年の円の対ドル相場は円高を予想する声が強かった。米連邦準備制度理事会（ＦＲＢ）が年前半にも利下げに踏み切るとの見方がある一方で、日銀がマイナス金利を解除するなど異次元緩和の正常化を進め、日米金利差が縮小するとの見方が背景にあった。しかし、唐鎌氏は「１月にマイナス金利解除をできなければ、年前半の解除も怪しくなるだろう」とみる。ＦＲＢと日銀の政策変更見通しで資産運用会社は円強気に転じる日銀マイナス金利の早期解除観測強まる、来年４月まで７割−調査大和証券の岩下真理チーフマーケットエコノミストは、植田和男総裁が12月25日に行った 講演と27日のＮＨＫとの インタビューを受けて、１月会合でのマイナス金利解除予想を撤回した。能登半島地震が発生したことにより、１月の解除は「さらに無理になった」と語る。岩下氏は、地震によって生産活動は落ち込むだろうし、政府も復旧対策で補正予算を組む可能性もあると指摘。日銀は４月にはマイナス金利を解除すると予想しているが、「正常化を進める上でハードルが高くなったのは確かだろう」と述べた。金融政策の変更、目標実現の確度十分に高まれば検討−日銀総裁政策正常化の判断、春闘で中小賃上げ出そろう前に可能−日銀総裁三菱ＵＦＪモルガン・スタンレー証券の六車治美チーフ債券ストラテジストも、地震により先行き不確実性が高まったことを受けて、１月のマイナス金利解除の可能性は「ほぼなくなった」とみる。その上で、マイナス金利解除の判断は、 イオンなど大企業が大幅な賃上げを打ち出すなど、日銀が目指す賃金と物価の好循環を実現する上で好材料が出ていることと、地震による地域経済やインバウンドへの悪影響との綱引きになると指摘。４月までの解除は不可能ではないものの、「日銀政策委員会メンバーの間から急ぐ必要はないとの意見が強まる可能性もあり、日銀は慎重な対応を迫られるだろう」と述べた。イオン、24年春にパート時給７％上げ−日経円は普通の通貨にみずほ銀の唐鎌氏は、震災で為替が円安に振れていることについて「円は危機に対して普通の反応をする通貨になったという見方が今後なされるだろう」と語る。東日本大震災が起きた11年３月、１ドル＝80円前後で推移していた円相場は一時76円台まで上昇。その後、日米欧の通貨当局が外国為替市場で円売り介入に踏み切ったことを受けて85円台まで戻したが、その後は再び円高に反転。同年10月に75円台の史上最高値を付けた。当時、円高要因とされたのは日本企業が海外に保有する資産の国内環流、いわゆるリパトリだった。唐鎌氏は「今は当時とは状況が異なる」と語る。当時は長年にわたる貿易黒字の蓄積があり、実需のフローも円高を支持する状況だったが、「今は過去２年で30兆円くらいの貿易赤字を出しており、同じ反応を期待するのは無理筋だ」という。唐鎌氏はその上で、今までは大地震が発生したり、北朝鮮からミサイルが飛ばされたりと危機が発生すれば円買いになっていたが、「基本的に国難が起きれば通貨安になるという普通の状況になってきている」と語る。関連記事：
7,フィリピン証取が取引を再開、一時売買停止の理由示さず,https://www.bloomberg.co.jp/news/articles/2024-01-03/S6O165T0G1KW00?srnd=cojp-v2,フィリピン証券取引所は３日、停止されていた取引が現地時間午前11時56分（日本時間午後０時56分）に再開されたと発表した。同証取の担当者に取引開始後に起きた売買停止の理由についてコメントを求めたが返答はなかった。フィリピン株の指標、総合指数が２日に心理的に重要な6500を上回って引けた後の混乱で、「トレーダーや投資家からは不満の声が上がっている」と、ｅマネジメント・フォー・ビジネス・アンド・マーケティング・サービシズのマネジングディレクター、ジョナサン・ラベラス氏は述べた。３日のフィリピン総合指数は１％安となっている。原題： Philippine Bourse Resumes Trading After Two-Hour Halt (2)（抜粋）
8,メキシコがグローバル債起債、過去最大の75億ドル集める−関係者,https://www.bloomberg.co.jp/news/articles/2024-01-02/S6NLR5T0G1KW00?srnd=cojp-v2,メキシコがドル建てのグローバル債を起債し、75億ドル（約１兆600億円）を集めた。同国にとって過去最大規模となる。５年と12年、30年を償還期限とする３本立てだと、公に話す権限がないとして関係者が匿名を条件に語った。グローバル市場全体のセンチメントはネガティブだったが、需要が200億ドルに達したという。２日に利回りが米国債をそれぞれ115ベーシスポイント（ｂｐ、１ｂｐ＝0.01％）、215ｂｐ、235ｂｐ上回る水準に決まり、当初のガイダンスより引き締まった価格設定になったと関係者は説明した。Mexico's Hard-Currency Bond Issues Since Late 2020 Source: Bloomberg原題： Mexico Taps Global Markets With Record $7.5 Billion Bond Sale （抜粋）
9,アップル株下落、バークレイズが弱気派に−iPhone需要軟化警戒,https://www.bloomberg.co.jp/news/articles/2024-01-02/S6MW4ZT0G1KW00?srnd=cojp-v2,アップルに弱気な見方がまた増えた。最新型iPhone（アイフォーン）の需要が振るわないとの見方に基づき、バークレイズが株式投資判断を「アンダーウエート」に引き下げた。アップル株は２日の米株式市場で3.6％安と、昨年９月以来最大の下落率を記録。1070億ドル（約15兆2100億円）強の時価総額が失われた。ティム・ロング氏率いるバークレイズのアナリストは、アップルの株価目標も従来の161ドルから160ドルに引き下げた。２日の終値は185.64ドル。「昨年はほとんどの四半期で予想を下回り、株価はアウトパフォームした。この反転が起こるだろう」とバークレイズのアナリストリポートは予想。「販売台数やiPhone15のラインアップを考慮すると見通しは引き続きネガティブであり、iPhone16をもっと魅力的にするような特色やアップグレードもなさそうだ」と続けた。アップルの株価は昨年、約50％上昇して過去最高を記録し、株式時価総額は３兆ドルに達した。低迷する経済に主力製品のiPhoneが耐えられると、投資家が賭けたからだ。しかし華為技術（ファーウェイ）など競合企業が頭角を現し、中国政府が国外製品への締め付けを厳しくしている状況から、アップル株が2023年も躍進するとの見方に疑問符が付き始めている。アップル、来年も急騰シナリオは望み薄−３兆ドルの巨人に強まる逆風アップル株の投資に対しては、バークレイズによる「アンダーウエート」を加えて５社が「売り」もしくはそれに相当する判断を下したことがブルームバーグがまとめたデータが示している。「買い」は34社、「ホールド」は14社。目標株価のコンセンサスは、向こう１年で7.5％の上昇。原題： Apple Slumps Most Since September as Barclays Sours on Stock (3)（抜粋）
10,豪州の生活コスト上昇圧力、経済成長に水指す−豪中銀の内部文書,https://www.bloomberg.co.jp/news/articles/2024-01-03/S6NZ1ST0AFB400?srnd=cojp-v2,"オーストラリア準備銀行（中央銀行）は、物価上昇と金利高が消費と経済全般の成長の重しになっていることが産業界や地域団体との会合で示唆されているとの見解を示していた。昨年９−11月の 内部文書で３日明らかになった。豪中銀は情報公開請求に基づいて公表された資料で、「小売業者の報告によれば、消費者、特に生活費の上昇圧力にさらされている人たちが、予算をより意識して支出している」と９月18日付資料で指摘していた。国内の観光需要は高水準だったが落ち込んでおり、物価上昇圧力や金利高を背景に一段の軟化が予想されるという。文書が公表される直前にはアルバニージー首相が、政府は生活費の負担軽減に向け家計に対する追加支援を目指していると表明。政府は急上昇しているエネルギーコストの対策とインフレ圧力抑制を狙った昨年のプログラムを基にする考えだという。豪中銀の文書によると、民間セクターの賃金上昇率は４％「前後」で安定しているように見受けられた。これは豪中銀が昨年11月に発表した金融政策四半期報告での予想と同水準。関連記事原題： RBA Sees Living-Cost Pressure Weighing on Growth, Documents Show（抜粋）"
